t_s,T_numeric_K,T_analytical_K
3137.520350877193,307.8371471534921,307.8371471797022
3149.0130994152046,307.8408214921535,307.84082153118277
3160.5058479532163,307.84444099297684,307.8444410426222
3171.998596491228,307.84800647584666,307.8480065325131
3183.4913450292397,307.85151874794127,307.8515188071324
3194.9840935672514,307.85497860600333,307.85497866072285
3206.476842105263,307.85838683386675,307.8583868756733
3217.969590643275,307.8617441971353,307.86174422269534
3229.4623391812866,307.86505145112096,307.86505146099745
3240.9550877192983,307.868309341065,307.86830933845715
3252.44783625731,307.87151860213766,307.87151859178954
3263.9405847953217,307.87467995943825,307.8746799467143
3275.4333333333334,307.8777941279953,307.87779411811977
3286.926081871345,307.8808618127662,307.88086181022425
3298.418830409357,307.8838837086377,307.8838837167358
3309.9115789473685,307.8868605004255,307.88686052100866
3321.4043274853802,307.8897928628743,307.88979289619795
3332.897076023392,307.892681460658,307.89268150541193
3344.3898245614037,307.8955269483797,307.8955270018619
3355.8825730994154,307.8983299705714,307.89833002900997
3367.375321637427,307.90109116180986,307.9010912207144
3378.868070175439,307.9038111502061,307.9038112013731
3390.3608187134505,307.9064905487295,307.9064905860649
3401.853567251462,307.9091299590553,307.9091299806883
3413.346315789474,307.9117299749602,307.9117299820989
3424.8390643274856,307.91429118232276,307.9142911782441
3436.3318128654973,307.9168141591226,307.9168141482961
3447.824561403509,307.9192994754414,307.919299462783
3459.3173099415208,307.9217476934619,307.9217476837175
3470.8100584795325,307.9241593674688,307.9241593647246
3482.302807017544,307.92653504384816,307.9265350511659
3493.7955555555554,307.92887526108757,307.9288752802638
3505.288304093567,307.93118054977623,307.9311805812225
3516.781052631579,307.9334514326049,307.93345147534774
3528.2738011695906,307.9356884243659,307.93568847616467
3539.7665497076023,307.93789203195297,307.9378920895342
3551.259298245614,307.94006275436163,307.9400628137671
3562.7520467836257,307.9422010847765,307.9422011397368
3574.2447953216374,307.94430750755896,307.94430755099046
3585.737543859649,307.9463824950653,307.9463825238581
3597.230292397661,307.94842651344817,307.9484265275608
3608.7230409356725,307.9504400227366,307.95044002431604
3620.2157894736843,307.9524234768354,307.95242346944303
3631.708538011696,307.95437732352593,307.954377311465
3643.2012865497077,307.9563020044654,307.95630199221125
3654.6940350877194,307.95819795518736,307.95819794691647
3666.186783625731,307.96006560510136,307.9600656043195
3677.679532163743,307.9619053774933,307.96190538676024
3689.1722807017545,307.963717689525,307.96371771027515
3700.665029239766,307.9655029522347,307.9655029846913
3712.157777777778,307.96726157053655,307.96726161371896
3723.6505263157896,307.96899394322094,307.9689939950431
3735.1432748538014,307.9707004629544,307.9707005204132
